ID,Store,CrustDescription,Topping,Diameter
162,EagleBoys,ThinCrust,SuperSupremo,29.57
163,EagleBoys,ThinCrust,SuperSupremo,29.27
164,EagleBoys,MidCrust,SuperSupremo,28.8
165,EagleBoys,DeepPan,Hawaiian,28.48
166,EagleBoys,MidCrust,Hawaiian,28.2
167,EagleBoys,DeepPan,Hawaiian,29.04
168,EagleBoys,MidCrust,SuperSupremo,28.79
169,EagleBoys,ThinCrust,BBQMeatlovers,29.68
170,EagleBoys,ThinCrust,BBQMeatlovers,29.51
171,EagleBoys,MidCrust,Hawaiian,28.93
172,EagleBoys,DeepPan,Hawaiian,29.19
173,EagleBoys,DeepPan,BBQMeatlovers,28.61
174,EagleBoys,MidCrust,Hawaiian,28.29
175,Dominos,DeepPan,Hawaiian,26.48
176,Dominos,ThinNCrispy,Supreme,29.33
177,Dominos,ClassicCrust,Hawaiian,26.58
178,Dominos,DeepPan,BBQMeatlovers,26.27
179,Dominos,ClassicCrust,Hawaiian,26.65
180,Dominos,ClassicCrust,Supreme,27.27
181,Dominos,DeepPan,Hawaiian,27.04
182,Dominos,ClassicCrust,Supreme,28.9
183,Dominos,ClassicCrust,Hawaiian,27.15
184,Dominos,DeepPan,BBQMeatlovers,27.22
185,Dominos,ThinNCrispy,Supreme,29.14
186,Dominos,ThinNCrispy,Supreme,29.23
187,Dominos,ClassicCrust,Hawaiian,26.64
188,Dominos,ThinNCrispy,BBQMeatlovers,28.82
189,Dominos,DeepPan,BBQMeatlovers,26.77
190,Dominos,ThinNCrispy,Supreme,28.32
191,EagleBoys,DeepPan,Hawaiian,29
194,EagleBoys,DeepPan,BBQMeatlovers,29.78
195,EagleBoys,MidCrust,Hawaiian,29.81
196,EagleBoys,ThinCrust,SuperSupremo,29.86
197,Dominos,ClassicCrust,Supreme,27.12
198,Dominos,DeepPan,Hawaiian,26.55
199,Dominos,ClassicCrust,Hawaiian,26.53
200,Dominos,DeepPan,BBQMeatlovers,26.77
201,Dominos,ThinNCrispy,BBQMeatlovers,28.64
202,Dominos,ClassicCrust,Supreme,27.05
203,Dominos,DeepPan,Hawaiian,26.7
204,Dominos,ThinNCrispy,BBQMeatlovers,28.52
205,Dominos,ThinNCrispy,Supreme,28.44
206,Dominos,ThinNCrispy,BBQMeatlovers,29.41
207,Dominos,ClassicCrust,Supreme,26.97
208,Dominos,DeepPan,BBQMeatlovers,26.6
209,Dominos,ClassicCrust,Supreme,27.52
210,Dominos,ThinNCrispy,BBQMeatlovers,27.04
211,EagleBoys,DeepPan,Hawaiian,29.3
212,EagleBoys,ThinCrust,BBQMeatlovers,30.16
213,EagleBoys,MidCrust,Hawaiian,28.79
214,EagleBoys,ThinCrust,SuperSupremo,29.45
215,EagleBoys,DeepPan,Hawaiian,28.77
216,EagleBoys,MidCrust,SuperSupremo,28.36
217,Dominos,ThinNCrispy,BBQMeatlovers,29.04
218,Dominos,DeepPan,Hawaiian,26.76
219,Dominos,ClassicCrust,Supreme,26.79
220,EagleBoys,DeepPan,Hawaiian,29.34
221,EagleBoys,MidCrust,SuperSupremo,28.96
222,EagleBoys,ThinCrust,BBQMeatlovers,29.71
223,Dominos,ClassicCrust,Hawaiian,26.3
224,Dominos,DeepPan,Hawaiian,26.6
225,Dominos,ClassicCrust,Supreme,26.54
226,Dominos,ThinNCrispy,BBQMeatlovers,28.94
227,Dominos,ThinNCrispy,Hawaiian,28.86
228,Dominos,DeepPan,Supreme,26.7
229,Dominos,ThinNCrispy,Hawaiian,25.58
230,Dominos,DeepPan,Supreme,28.79
231,Dominos,ClassicCrust,BBQMeatlovers,26.6
232,EagleBoys,ThinCrust,Hawaiian,28.71
233,EagleBoys,DeepPan,SuperSupremo,30.37
234,EagleBoys,MidCrust,BBQMeatlovers,28.63
235,EagleBoys,DeepPan,BBQMeatlovers,29.09
236,EagleBoys,MidCrust,BBQMeatlovers,28.67
237,EagleBoys,DeepPan,BBQMeatlovers,30.02
238,EagleBoys,MidCrust,SuperSupremo,28.76
239,EagleBoys,ThinCrust,BBQMeatlovers,29.86
240,EagleBoys,ThinCrust,Hawaiian,28.73
241,Dominos,ThinNCrispy,Supreme,28.97
242,Dominos,ClassicCrust,BBQMeatlovers,26.81
243,Dominos,DeepPan,BBQMeatlovers,27.1
244,EagleBoys,DeepPan,SuperSupremo,29.36
245,EagleBoys,ThinCrust,SuperSupremo,29.34
246,EagleBoys,MidCrust,Hawaiian,28.9
247,Dominos,ClassicCrust,Hawaiian,25.78
248,Dominos,ThinNCrispy,Supreme,28.84
249,Dominos,DeepPan,BBQMeatlovers,26.36
250,Dominos,DeepPan,Hawaiian,26.11
251,Dominos,ThinNCrispy,BBQMeatlovers,29.14
252,Dominos,ClassicCrust,Supreme,26.71
